,zone,id,distance,density
177,N,UV-2,385.0,0.68148
178,N,UV-2,390.0,1.02222
179,N,UV-2,395.0,1.36296
180,N,UV-2,400.0,0.34074
181,N,UV-2,405.0,1.36296
182,N,UV-2,410.0,1.36296
183,N,UV-2,415.0,0.34074
184,N,UV-2,420.0,0.68148
185,N,UV-2,425.0,0.68148
186,N,UV-2,430.0,0.34074
187,N,UV-2,435.0,0.34074
188,N,UV-2,440.0,2.38518
189,N,UV-2,445.0,0.0
190,N,UV-2,450.0,0.0
191,N,UV-2,455.0,0.34074
192,N,UV-2,460.0,0.34074
193,N,UV-2,465.0,1.36296
194,N,UV-2,470.0,0.68148
195,N,UV-2,475.0,1.36296
196,N,UV-2,480.0,0.0
197,N,UV-2,485.0,0.34074
198,N,UV-2,490.0,0.68148
199,N,UV-2,495.0,0.34074
200,N,UV-3,0.0,0.0
201,N,UV-3,5.0,0.0
202,N,UV-3,10.0,0.0
203,N,UV-3,15.0,0.0
204,N,UV-3,20.0,0.0
205,N,UV-3,25.0,0.399694
206,N,UV-3,30.0,3.19755
207,N,UV-3,35.0,4.79633
208,N,UV-3,40.0,5.59571
209,N,UV-3,45.0,9.19296
210,N,UV-3,50.0,2.39816
211,N,UV-3,55.0,2.79786
212,N,UV-3,60.0,1.59878
213,N,UV-3,65.0,2.79786
214,N,UV-3,70.0,0.799388
215,N,UV-3,75.0,2.79786
216,N,UV-3,80.0,1.59878
217,N,UV-3,85.0,0.799388
218,N,UV-3,90.0,1.99847
219,N,UV-3,95.0,3.19755
220,N,UV-3,100.0,1.99847
221,N,UV-3,105.0,0.399694
222,N,UV-3,110.0,1.19908
223,N,UV-3,115.0,1.99847
224,N,UV-3,120.0,2.79786
225,N,UV-3,125.0,1.59878
226,N,UV-3,130.0,0.0
227,N,UV-3,135.0,0.799388
228,N,UV-3,140.0,1.59878
229,N,UV-3,145.0,1.99847
230,N,UV-3,150.0,1.59878
231,N,UV-3,155.0,1.59878
